observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
SYFW0043_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0043,,2024-01-27T05:27:42-0600,2024-01-27T05:27:42-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0056_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0056,,2024-01-27T05:54:42-0600,2024-01-27T05:54:42-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0081_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0081,,2024-01-27T07:46:16-0600,2024-01-27T07:46:16-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0095_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0095,,2024-01-27T07:54:26-0600,2024-01-27T07:54:26-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0240_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0240,,2024-01-30T12:44:26-0600,2024-01-30T12:44:26-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0100_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0100,,2024-01-27T13:57:31-0600,2024-01-27T13:57:31-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0114_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0114,,2024-01-27T14:05:52-0600,2024-01-27T14:05:52-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0128_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0128,,2024-01-27T14:17:34-0600,2024-01-27T14:17:34-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0074_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0074,,2024-01-27T13:42:39-0600,2024-01-27T13:42:39-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0060_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0060,,2024-01-27T13:33:15-0600,2024-01-27T13:33:15-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0048_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0048,,2024-01-27T11:32:54-0600,2024-01-27T11:32:54-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0064_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0064,,2024-01-27T13:35:29-0600,2024-01-27T13:35:29-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0070_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0070,,2024-01-27T13:39:37-0600,2024-01-27T13:39:37-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0110_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0110,,2024-01-27T14:03:29-0600,2024-01-27T14:03:29-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0104_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0104,,2024-01-27T13:59:46-0600,2024-01-27T13:59:46-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0138_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0138,,2024-01-27T14:26:06-0600,2024-01-27T14:26:06-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0091_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0091,,2024-01-27T07:52:06-0600,2024-01-27T07:52:06-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0085_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0085,,2024-01-27T07:48:44-0600,2024-01-27T07:48:44-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0047_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0047,,2024-01-27T05:30:42-0600,2024-01-27T05:30:42-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0053_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0053,,2024-01-27T05:38:26-0600,2024-01-27T05:38:26-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0059_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0059,,2024-01-27T13:32:52-0600,2024-01-27T13:32:52-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0133_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0133,,2024-01-27T08:22:56-0600,2024-01-27T08:22:56-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0127_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0127,,2024-01-27T08:16:40-0600,2024-01-27T08:16:40-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0131_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0131,,2024-01-27T08:21:36-0600,2024-01-27T08:21:36-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0125_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0125,,2024-01-27T08:14:20-0600,2024-01-27T08:14:20-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0119_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0119,,2024-01-27T08:08:26-0600,2024-01-27T08:08:26-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0098_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0098,,2024-01-27T13:56:22-0600,2024-01-27T13:56:22-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0045_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0045,,2024-01-27T05:28:56-0600,2024-01-27T05:28:56-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0051_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0051,,2024-01-27T05:37:16-0600,2024-01-27T05:37:16-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0079_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0079,,2024-01-27T07:45:12-0600,2024-01-27T07:45:12-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0093_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0093,,2024-01-27T07:53:12-0600,2024-01-27T07:53:12-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0087_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0087,,2024-01-27T07:49:50-0600,2024-01-27T07:49:50-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0112_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0112,,2024-01-27T14:04:46-0600,2024-01-27T14:04:46-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0106_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0106,,2024-01-27T14:00:58-0600,2024-01-27T14:00:58-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0066_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0066,,2024-01-27T13:36:37-0600,2024-01-27T13:36:37-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0072_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0072,,2024-01-27T13:41:33-0600,2024-01-27T13:41:33-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0241_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0241,,2024-01-30T18:45:12-0600,2024-01-30T18:45:12-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0129_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0129,,2024-01-27T08:17:52-0600,2024-01-27T08:17:52-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0115_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0115,,2024-01-27T08:06:10-0600,2024-01-27T08:06:10-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0101_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0101,,2024-01-27T07:57:48-0600,2024-01-27T07:57:48-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0057_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0057,,2024-01-27T11:59:05-0600,2024-01-27T11:59:05-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0094_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0094,,2024-01-27T13:54:08-0600,2024-01-27T13:54:08-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0080_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0080,,2024-01-27T13:45:59-0600,2024-01-27T13:45:59-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0049_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0049,,2024-01-27T05:33:12-0600,2024-01-27T05:33:12-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0061_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0061,,2024-01-27T07:33:32-0600,2024-01-27T07:33:32-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0075_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0075,,2024-01-27T07:42:58-0600,2024-01-27T07:42:58-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0136_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0136,,2024-01-27T14:24:57-0600,2024-01-27T14:24:57-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0122_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0122,,2024-01-27T14:11:47-0600,2024-01-27T14:11:47-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0042_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0042,,2024-01-27T11:27:25-0600,2024-01-27T11:27:25-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0068_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0068,,2024-01-27T13:37:46-0600,2024-01-27T13:37:46-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0040_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0040,,2024-01-27T11:26:18-0600,2024-01-27T11:26:18-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0054_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0054,,2024-01-27T11:50:41-0600,2024-01-27T11:50:41-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0108_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0108,,2024-01-27T14:02:21-0600,2024-01-27T14:02:21-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0134_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0134,,2024-01-27T14:23:51-0600,2024-01-27T14:23:51-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0120_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0120,,2024-01-27T14:10:32-0600,2024-01-27T14:10:32-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0089_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0089,,2024-01-27T07:51:00-0600,2024-01-27T07:51:00-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0063_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0063,,2024-01-27T07:34:40-0600,2024-01-27T07:34:40-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0077_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0077,,2024-01-27T07:44:04-0600,2024-01-27T07:44:04-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0096_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0096,,2024-01-27T13:55:14-0600,2024-01-27T13:55:14-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
